中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
8.212.44.95,443,47.76.21.114,HK,Hong Kong,隧道,264 ms,67 Mbps,8663 kB/s,8663.0
8.219.140.176,443,47.245.84.175,SG,Singapore,隧道,265 ms,66 Mbps,8549 kB/s,8549.0
8.222.208.125,443,47.236.1.53,SG,Singapore,隧道,223 ms,66 Mbps,8536 kB/s,8536.0
8.219.181.218,443,8.222.236.107,SG,Singapore,隧道,249 ms,66 Mbps,8530 kB/s,8530.0
8.219.148.44,443,8.222.210.246,SG,Singapore,隧道,271 ms,66 Mbps,8483 kB/s,8483.0
8.219.67.67,443,8.222.210.246,SG,Singapore,隧道,238 ms,66 Mbps,8454 kB/s,8454.0
8.219.164.133,443,8.222.220.238,SG,Singapore,隧道,249 ms,65 Mbps,8435 kB/s,8435.0
8.219.99.43,443,8.222.222.65,SG,Singapore,隧道,261 ms,64 Mbps,8306 kB/s,8306.0
8.219.209.113,443,8.222.236.107,SG,Singapore,隧道,250 ms,64 Mbps,8279 kB/s,8279.0
8.219.205.167,443,8.222.207.55,SG,Singapore,隧道,262 ms,63 Mbps,8187 kB/s,8187.0
